City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Carnarvon,AU,2021-09-27 01:17:59,-24.8667,113.6333,68.07,60,40,11.5,scattered clouds
194,Uvalde,US,2021-09-27 01:20:20,29.3669,-99.767,81.52,19,1,5.75,clear sky
195,Georgetown,MY,2021-09-27 01:20:20,5.4112,100.3354,80.89,87,20,3.44,few clouds
196,Port Lavaca,US,2021-09-27 01:20:21,28.615,-96.6261,76.21,71,1,4.61,clear sky
197,Boysun,UZ,2021-09-27 01:20:21,38.2061,67.1986,62.24,22,0,8.03,clear sky
198,Great Falls,US,2021-09-27 01:18:49,47.5002,-111.3008,81.05,16,1,8.99,clear sky
199,Ust-Kuyga,RU,2021-09-27 01:20:22,70.0167,135.6,33.3,98,100,4.65,light snow
200,Chernyshevskiy,RU,2021-09-27 01:20:22,63.0128,112.4714,32.79,70,100,15.14,overcast clouds
201,Ayagoz,KZ,2021-09-27 01:20:23,47.9714,80.4392,34.97,38,100,15.59,overcast clouds
202,Soller,ES,2021-09-27 01:17:05,39.7662,2.7152,71.04,73,52,1.66,broken clouds
203,Ishigaki,JP,2021-09-27 01:20:23,24.3448,124.1572,86.13,79,20,13.8,few clouds
204,Asau,RO,2021-09-27 01:20:24,46.4333,26.4,56.32,90,1,2.01,light rain
205,Jacareacanga,BR,2021-09-27 01:20:24,-6.2222,-57.7528,73.15,96,67,2.51,broken clouds
206,Ambilobe,MG,2021-09-27 01:20:25,-13.2,49.05,67.44,72,11,3.53,few clouds
207,Luderitz,NA,2021-09-27 01:20:25,-26.6481,15.1594,57.16,95,52,15.75,broken clouds
208,Kamenka,RU,2021-09-27 01:20:26,51.3223,42.7678,48.2,91,100,15.28,light rain
209,Rohru,IN,2021-09-27 01:20:26,31.2167,77.75,60.22,81,0,3.89,clear sky
210,Mastic Beach,US,2021-09-27 01:20:26,40.7668,-72.8521,70.95,72,1,0.0,clear sky
211,Yashan,CN,2021-09-27 01:20:27,22.1975,109.9419,82.15,77,0,1.52,clear sky
212,Bose,IT,2021-09-27 01:20:27,45.4612,8.0137,60.15,88,7,4.59,clear sky
213,Aleksandrov Gay,RU,2021-09-27 01:20:28,50.147,48.5704,50.45,85,100,14.58,overcast clouds
214,Bonavista,CA,2021-09-27 01:20:28,48.6499,-53.1147,53.11,89,100,11.63,overcast clouds
215,Alekseyevka,RU,2021-09-27 01:20:29,50.6309,38.6903,48.38,80,100,15.39,overcast clouds
216,Ilulissat,GL,2021-09-27 01:20:29,69.2167,-51.1,19.42,49,1,3.44,clear sky
217,Grindavik,IS,2021-09-27 01:20:30,63.8424,-22.4338,39.67,81,90,32.21,overcast clouds
218,Qaanaaq,GL,2021-09-27 01:20:30,77.484,-69.3632,19.06,59,63,8.12,broken clouds
219,Xichang,CN,2021-09-27 01:20:30,27.8964,102.2634,65.41,90,69,1.86,broken clouds
220,Pahrump,US,2021-09-27 01:20:31,36.2083,-115.9839,90.25,22,2,1.99,clear sky
221,Rawson,AR,2021-09-27 01:20:31,-43.3002,-65.1023,50.99,37,6,0.54,clear sky
222,Hohhot,CN,2021-09-27 01:20:32,40.8106,111.6522,57.49,77,0,4.47,clear sky
223,Akropong,GH,2021-09-27 01:20:32,5.9746,-0.0854,74.35,96,100,5.14,light rain
224,Nelson Bay,AU,2021-09-27 01:20:32,-32.7167,152.15,67.08,51,24,1.99,few clouds
225,Alofi,NU,2021-09-27 01:20:33,-19.0595,-169.9187,80.49,61,100,6.91,overcast clouds
226,Comonfort,MX,2021-09-27 01:20:33,20.7167,-100.7667,71.13,62,100,5.14,overcast clouds
227,Bambous Virieux,MU,2021-09-27 01:20:33,-20.3428,57.7575,68.25,94,75,18.41,light intensity shower rain
228,Labuhan,ID,2021-09-27 01:20:34,-6.8844,112.2051,80.82,74,19,4.97,few clouds
229,Pisco,PE,2021-09-27 01:20:34,-13.7,-76.2167,60.85,82,0,9.22,clear sky
