City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Thinadhoo,MV,81.93,overcast clouds,0.5333,72.9333,
384,Panama City,PA,84.06,few clouds,8.9936,-79.5197,Riande Urban Hotel
385,Mogadishu,SO,77.79,scattered clouds,2.0371,45.3438,Hotel Juba
388,Alice Springs,AU,87.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
391,Kaniama,CD,71.82,overcast clouds,-7.5667,24.1833,
392,Kawalu,ID,74.98,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
393,Tual,ID,80.74,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
394,Muroto,JP,77.04,overcast clouds,33.2833,134.15,Oota Ryokan
395,Gao,ML,89.46,clear sky,16.6362,1.637,
398,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
400,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
405,Tomigusuku,JP,88.34,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
407,North Myrtle Beach,US,71.65,clear sky,33.816,-78.68,Avista Resort
409,Santa Rosa,PH,84.85,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
411,Marsa Matruh,EG,72.34,clear sky,31.3525,27.2453,Beau Site
414,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
415,Dzilam Gonzalez,MX,78.03,scattered clouds,21.2833,-88.9333,posadas
416,Saint Anthony,US,73.15,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
417,Mahibadhoo,MV,79.92,overcast clouds,3.7833,72.9667,Omadhoo Inn
422,Coos Bay,US,79.86,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
426,Buala,SB,85.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
427,Virginia Beach,US,70.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
431,Winnemucca,US,84.25,clear sky,40.973,-117.7357,Winners Inn Casino
434,Caucaia,BR,84.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
435,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
436,Marzuq,YE,74.8,clear sky,14.4,46.4667,
440,Vilhena,BR,73.63,broken clouds,-12.7406,-60.1458,Hotel Mirage
443,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
444,Methoni,GR,70.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
445,Bengkulu,ID,78.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
446,Myitkyina,MM,77.2,few clouds,25.3833,97.4,Shwe Phyu Hotel
448,Campoverde,PE,80.29,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
451,Sinnamary,GF,80.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
454,Luang Prabang,LA,76.96,few clouds,19.8856,102.1347,Villa Oasis
456,Dataganj,IN,75.6,clear sky,28.0333,79.4,Raj Complex
457,Sao Joao Da Barra,BR,73.0,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
462,Kerema,PG,82.9,scattered clouds,-7.9631,145.7785,Frena Lodge
466,Gorontalo,ID,85.03,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
469,Delvada,IN,78.1,overcast clouds,20.7667,71.0333,Hotel Shivam
470,Porbandar,IN,80.17,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
471,Mayumba,GA,75.24,overcast clouds,-3.432,10.6554,LIKWALE LODGE
472,Upata,VE,73.35,broken clouds,8.0086,-62.3989,Posada Villa Nela
473,Puerto Concordia,CO,75.63,scattered clouds,2.6221,-72.7572,Hotel El Jardín
478,Santarem,BR,78.93,clear sky,-2.4431,-54.7083,Ecotur Lodge
482,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
483,Dingle,PH,83.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
485,Bonfim,BR,80.78,clear sky,3.0833,-59.95,
488,Itaberai,BR,74.1,overcast clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
489,Parintins,BR,75.67,broken clouds,-2.6283,-56.7358,Cama e Cafe
493,Charagua,BO,80.76,clear sky,-19.8,-63.2167,Hotel
496,Buchanan,LR,74.59,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
497,Mikuni,JP,76.91,clear sky,36.2171,136.1519,Haiya
503,Capitan Bado,PY,77.4,clear sky,-23.2667,-55.5333,Hotel Suiza
504,Jatai,BR,74.84,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
508,Airai,TL,76.01,overcast clouds,-8.9266,125.4092,Juvinal Martin
510,Batticaloa,LK,80.42,overcast clouds,7.7102,81.6924,Grand Star Guest House
511,Billings,US,82.17,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
512,Dicabisagan,PH,86.23,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
518,Moree,AU,71.62,broken clouds,-29.4667,149.85,Molika Springs Motel
520,Dhidhdhoo,MV,77.68,overcast clouds,6.8833,73.1,Dhidhoo beach
521,Charters Towers,AU,82.89,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
522,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
523,Santiago Del Estero,AR,75.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
525,Hambantota,LK,78.19,overcast clouds,6.1241,81.1185,Bungalow 63
526,Camara De Lobos,PT,70.72,few clouds,32.6333,-16.9667,Golden Residence Hotel
527,Bitkine,TD,77.2,overcast clouds,11.9801,18.2138,
529,Kaliua,TZ,74.39,overcast clouds,-5.0606,31.7936,Millennium Complex
530,Khandbari,NP,72.21,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
536,Ratnagiri,IN,76.39,broken clouds,16.9833,73.3,Hotel Landmark
538,Acarau,BR,79.07,few clouds,-2.8856,-40.12,castelo pizzaria
543,North Bend,US,77.94,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
544,Mana,GF,81.45,clear sky,5.6592,-53.7767,LE SAMANA
545,Santa Marta,CO,84.97,scattered clouds,11.2408,-74.199,Casa de Isabella
548,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
549,El Dorado,US,79.38,clear sky,38.7666,-120.5177,South Fork Group Campground
552,Tacuati,PY,80.65,clear sky,-23.45,-56.5833,
557,Taklisah,TN,77.74,few clouds,36.7833,10.6333,Takelsa vineyard
559,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
562,Ewa Beach,US,89.55,few clouds,21.3156,-158.0072,Uncle Junior Robert
563,Chuncheng,CN,84.02,clear sky,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
